Quarter,LogGDP,Employment,LogCPI,InterestRate,LogEnergyDemand
2013Q4,972.09849193488333,93.069999999999993,545.60161728945366,0.080000000000000002,1011.8892108527518
2014Q1,971.81538638242148,93.329999999999998,546.2224581930858,0.10000000000000001,1013.1525675865716
2014Q2,973.15998730342517,93.799999999999997,546.75211773548415,0.089999999999999997,1009.9027293362478
2014Q3,974.37352629465079,93.930000000000007,547.00762508792945,0.12,1009.2331066720908
2014Q4,974.93474226532192,94.299999999999997,546.75887220177208,0.11,1011.3075434315275
2015Q1,975.8794210773932,94.469999999999999,546.1095012575804,0.13,1012.4655469168699
2015Q2,976.55375550968154,94.569999999999993,546.78913505194885,0.14000000000000001,1010.0060892243624
2015Q3,976.9157040700884,94.900000000000006,547.16612443096403,0.23999999999999999,1010.5182511352338
2015Q4,977.07593801010262,94.969999999999999,547.15855650885953,0.35999999999999999,1006.8207944486252
2016Q1,977.6407533548595,95.099999999999994,547.09643586285119,0.38,1008.5914289215152
2016Q2,977.9521862349302,95.069999999999993,547.89303812815558,0.40000000000000002,1009.6937660413074
2016Q3,978.49510581009542,95.099999999999994,548.31661438949357,0.54000000000000004,1011.6998128970434
2016Q4,979.12243234290304,95.230000000000004,548.94941828761728,0.79000000000000004,1009.8588783648438
2017Q1,979.6865074271675,95.430000000000007,549.61541867396852,1.04,1007.8620542131928
2017Q2,980.11254261020963,95.599999999999994,549.79343252063336,1.1499999999999999,1010.7677210725392
2017Q3,980.83873306890882,95.700000000000003,550.26666060451123,1.3,1010.1828446435256
2017Q4,981.7898726876756,95.870000000000005,551.04282815277429,1.51,1012.2733860252455
2018Q1,982.71723847788758,95.969999999999999,551.81727176525487,1.8200000000000001,1013.3538016517863
2018Q2,983.38364108654628,96.069999999999993,552.44073727974387,1.95,1014.2264836899406
2018Q3,983.90746235115375,96.230000000000004,552.84536118897438,2.27,1013.6150137747948
2018Q4,984.23524598265942,96.170000000000002,553.23533790286706,2.4100000000000001,1014.187883411959
2019Q1,984.95775216885681,96.129999999999995,553.4123211581923,2.3799999999999999,1014.0738761626103
2019Q2,985.3277828768571,96.329999999999998,554.2726396238487,2.04,1012.2585431141588
2019Q3,985.96267789332705,96.400000000000006,554.59259923726711,1.55,1012.9100158424889
2019Q4,986.54719809079927,96.400000000000006,555.24156385600031,0.65000000000000002,1012.5664025180466
